symbol,Z,lattice_type,a0,a1,a2,a3,a4,ME (%)
Sr,38,BCC,0.06924,0.1227E-01,0.1052E-05,-0.1151E-08,0.4515E-12,0.20
Y,39,HCP,0.06510,0.2520E-02,0.9606E-06,-0.1044E-08,0.4082E-12,0.77
Zr,40,HCP,0.06133,0.1570E-02,0.8855E-06,-0.9584E-09,0.3736E-12,0.84
Nb,41,BCC,0.05889,0.1190E-02,0.8383E-06,-0.9048E-09,0.3521E-12,0.88
Mo,42,BCC,0.05292,0.4392E-03,0.7142E-06,-0.7625E-09,0.2946E-12,1.26
Pd,46,FCC,0.05200,0.1220E-02,0.7458E-06,-0.8062E-09,0.3140E-12,0.97
Ag,47,FCC,0.05358,0.2190E-02,0.7901E-06,-0.8588E-09,0.3357E-12,0.69
Sn,50,DIAMOND,0.13541,0.1900E-02,0.1113E-04,-0.2640E-07,0.2193E-10,1.82
Xe,54,FCC,0.10655,0.2824E-01,0.1613E-04,-0.6878E-07,0.1157E-09,0.01
Cs,55,BCC,0.07343,0.6136E-01,0.4538E-05,-0.1147E-07,0.1098E-10,0.01
Ba,56,BCC,0.04457,0.1016E-01,0.6803E-06,-0.7445E-09,0.2922E-12,0.20
La,57,FCC,0.04370,0.6040E-02,0.6646E-06,-0.7269E-09,0.2852E-12,0.24
Tb,65,HCP,0.03765,0.3200E-02,0.5682E-06,-0.6205E-09,0.2432E-12,0.46
Ho,67,HCP,0.03625,0.2630E-02,0.5462E-06,-0.5963E-09,0.2337E-12,0.57
Ta,73,BCC,0.03159,0.9039E-03,0.4625E-06,-0.5021E-09,0.1961E-12,0.88
W,74,BCC,0.02908,0.3748E-03,0.4073E-06,-0.4382E-09,0.1701E-12,1.20
Pt,78,FCC,0.02938,0.1090E-02,0.4310E-06,-0.4681E-09,0.1829E-12,0.91
Au,79,FCC,0.02981,0.1930E-02,0.4444E-06,-0.4842E-09,0.1895E-12,0.70
Pb,82,FCC,0.03639,0.6980E-02,0.1124E-05,-0.1881E-08,0.1157E-11,0.08
Th,90,FCC,0.02586,0.2330E-02,0.3902E-06,-0.4261E-09,0.1670E-12,0.35
Mn,25,NA,0.09004,0.7491E-03,0.1187E-05,-0.1261E-08,0.4858E-12,1.17
Co,27,NA,0.08122,0.5452E-03,0.1045E-05,-0.1104E-08,0.4238E-12,1.16
Ga,31,NA,0.11303,0.3962E-03,0.6605E-05,-0.1772E-07,0.1854E-10,0.05
As,33,NA,0.07665,0.1450E-02,0.1268E-05,-0.1500E-08,0.6424E-12,1.02
Se,34,NA,0.07777,0.1750E-01,0.1177E-05,-0.1277E-08,0.4974E-12,0.18
Ru,44,NA,0.04068,0.1125E-03,0.4621E-06,-0.4754E-09,0.1793E-12,1.02
Rh,45,NA,0.04497,0.2454E-03,0.5634E-06,-0.5922E-09,0.2265E-12,1.12
Cd,48,NA,0.06319,0.1830E-02,0.1861E-05,-0.3082E-08,0.1883E-11,0.27
In,49,NA,0.08212,0.7660E-02,0.4795E-05,-0.1169E-07,0.1066E-10,0.08
Sb,51,NA,0.04974,0.1810E-02,0.8538E-06,-0.1017E-08,0.4378E-12,0.61
Te,52,NA,0.05164,0.3490E-02,0.1075E-05,-0.1424E-08,0.6835E-12,0.29
Gd,64,NA,0.03722,0.1610E-02,0.5511E-06,-0.5995E-09,0.2344E-12,0.64
Dy,66,NA,0.03579,0.1390E-02,0.5278E-06,-0.5736E-09,0.2242E-12,0.83
Hf,72,NA,0.03167,0.8288E-03,0.4584E-06,-0.4965E-09,0.1936E-12,0.89
Ta,73,NA,0.03150,0.9178E-03,0.4586E-06,-0.4972E-09,0.1940E-12,0.86
Re,75,NA,0.02607,0.1917E-03,0.3390E-06,-0.3591E-09,0.1381E-12,1.17
Os,76,NA,0.02386,0.1160E-03,0.2944E-06,-0.3084E-09,0.1177E-12,1.11
Ir,77,NA,0.02550,0.1993E-03,0.3339E-06,-0.3542E-09,0.1363E-12,1.16
Hg,80,NA,0.05788,0.1026E-01,0.5610E-05,-0.1853E-07,0.2364E-10,0.03
Tl,81,NA,0.03756,0.8810E-02,0.1170E-05,-0.1957E-08,0.1204E-11,0.07
Bi,83,NA,0.03610,0.3580E-02,0.1111E-05,-0.1855E-08,0.1140E-11,0.19
U,92,NA,0.02449,0.9819E-03,0.3617E-06,-0.3933E-09,0.1538E-12,0.71
